category;food;protein;fats;carbohydrates
Рыба и рыбные продукты;Сельдь тихоокеанская жирная;14,0;15,0;0,0
Рыба и рыбные продукты;Сельдь тихоокеанская нежирная;18,0;7,0;0,0
Рыба и рыбные продукты;Сельдь тихоокеанская среднесоленая;17,4;17,1;0,0
Блюда из рыбы, морепродуктов и раков;Сельдь с луком;8,3;8,3;4,2
Блюда из рыбы, морепродуктов и раков;Сельдь рубленая;10,3;9,7;2,0
Блюда из рыбы, морепродуктов и раков;Бутерброд с сельдью;9,6;11,1;25,1
Рыба и рыбные продукты;Скумбрия атлантическая;18,0;13,2;0,0
Рыба и рыбные продукты;Скумбрия холодного копчения;23,4;6,4;0,0
Рыба и рыбные продукты;Скумбрия натуральная. Консервы;17,7;14,4;0,0
Рыба и рыбные продукты;Скумбрия в масле. Консервы;14,4;28,9;0,0
Рыба и рыбные продукты;Скумбрия дальневосточная;19,3;18,0;0,0
Рыба и рыбные продукты;Скумбрия курильская натуральная. Консервы;18,8;19,2;0,0
Рыба и рыбные продукты;Ставрида океаническая;18,5;4,5;0,0
Блюда из рыбы, морепродуктов и раков;Ставрида отварная (целиком с головой);20,0;4,9;0,0
Блюда из рыбы, морепродуктов и раков;"Ставрида припущенная (непластованная,
кусками)";19,6;4,8;0,0
Блюда из рыбы, морепродуктов и раков;Ставрида жареная;20,3;10,5;3,7
Рыба и рыбные продукты;Минтай;15,9;0,9;0,0
Блюда из рыбы, морепродуктов и раков;"Минтай припущенный (непластованный,
кусками)";16,2;1,1;0,0
Блюда из рыбы, морепродуктов и раков;Фрикадельки из минтая;11,8;1,9;7,6
Рыба и рыбные продукты;Навага;19,2;1,6;0,0
Блюда из рыбы, морепродуктов и раков;Навага жареная целиком;18,3;8,3;4,8
Рыба и рыбные продукты;Пикша;17,2;0,5;0,0
Рыба и рыбные продукты;Путассу;18,5;0,9;0,0
Рыба и рыбные продукты;Треска;16,0;0,6;0,0
Блюда из рыбы, морепродуктов и раков;Треска отварная;17,9;0,8;0,0
Блюда из рыбы, морепродуктов и раков;Треска припущенная (непластованная, кусками);17,0;0,8;0,0
Блюда из рыбы, морепродуктов и раков;Треска, тушенная в томате с овощами;9,7;5,1;3,9
Блюда из рыбы, морепродуктов и раков;Треска, запеченная с картофелем по-русски;6,0;3,7;8,0
Блюда из рыбы, морепродуктов и раков;Котлеты из трески;12,6;5,9;15,0
Блюда из рыбы, морепродуктов и раков;Галки из трески;12,0;1,1;7,3
Блюда из рыбы, морепродуктов и раков;Треска жареная;16,0;5,1;3,1
Супы;Солянка рыбная;2,4;1,2;1,2
Рыба и рыбные продукты;Треска соленая;23,1;0,6;0,0
Рыба и рыбные продукты;Треска горячего копчения;26,7;1,2;0,0
Рыба и рыбные продукты;Треска копченая в масле. Консервы;20,8;23,0;0,0
Рыба и рыбные продукты;Хек;16,6;2,2;0,0
Блюда из рыбы, морепродуктов и раков;Хек припущенный (непластованный, кусками);17,8;2,4;0,0
Блюда из рыбы, морепродуктов и раков;Зразы донские из хека;13,1;5,6;9,3
Рыба и рыбные продукты;Камбала дальневосточная;15,7;3,0;0,0
Рыба и рыбные продукты;Камбала обжаренная в масле. Консервы;14,4;21,8;0,0
Рыба и рыбные продукты;Палтус белокорый;18,9;3,0;0,0
Рыба и рыбные продукты;Горбуша;20,5;6,5;0,0
Блюда из рыбы, морепродуктов и раков;Горбуша отварная (непластованная, кусками);21,8;7,3;0,0
